Tanggal,Barang,Masuk,Keluar,Sisa Stok
08/02/2026,LEVEL GAUGE LS-3,,1,#REF!
20/02/2026,LEVEL GAUGE LS-3,,1,#REF!
23/02/2026,LEVEL GAUGE LS-3,,2,#REF!
23/02/2026,LEVEL GAUGE LS-3,,1,#REF!
08/02/2026,SELENOID BLOCK WINGTUCK 1 STATION,,1,#REF!
10/02/2026,SELENOID BLOCK WINGTUCK 1 STATION,,1,#REF!
23/02/2026,SELENOID BLOCK WINGTUCK 1 STATION,,2,#REF!
23/02/2026,GEAR PUMP 6CC,,2,#REF!
23/02/2026,GEAR PUMP 4CC (CBK SERIES),,2,#REF!
22/02/2026,FILTER JL06/MF06,,2,#REF!
15/02/2026,BREATHER FILTER AB-1162,,1,#REF!
20/02/2026,BREATHER FILTER AB-1162,,1,#REF!
16/02/2026,BREATHER FILTER AB-1163,,5,#REF!
23/06/2026,BREATHER FILTER AB-1163,,1,#REF!
20/02/2026,RELIEF VALVE MBP-02,,1,#REF!
08/02/2026,HANDLE SWITCH,,1,#REF!
16/02/2026,HANDLE SWITCH,,1,#REF!
23/02/2026,HANDLE SWITCH,,1,#REF!
08/02/2026,GEAR PUMP 2CC CBK,,1,#REF!
16/02/2026,GEAR PUMP 2CC CBK,,1,#REF!
16/02/2026,GEAR PUMP 2CC CBK,,1,#REF!
19/02/2026,GEAR PUMP 2CC CBK,,1,#REF!
23/02/2026,HYDROULIK VALVE Z256,,2,172
09/02/2026,BRONZE TCB401 70X80x35,,1,#REF!
16/02/2026,BRONZE TCB401 70X80x35,,1,#REF!
08/02/2026,BRONZE TCB401 50X56x30,,8,#REF!
09/02/2026,BRONZE TCB401 50X56x30,,2,#REF!
16/02/2026,BRONZE TCB401 50X56x30,,1,#REF!
11/02/2026,BRONZE TCB 401 40X45X30,,8,#REF!
13/02/2026,BRONZE TCB401 35X40x25,,4,#REF!
21/02/2026,BRONZE TCB401 35X40x25,,10,#REF!
08/02/2026,FILTER OIL,,1,#REF!
10/02/2026,FILTER OIL,,1,#REF!
16/02/2026,FILTER OIL,,1,#REF!
23/02/2026,FILTER OIL,,2,#REF!
07/02/2026,CABLE CONTROL WITH STEEL BOX,,1,#REF!
08/02/2026,TANK WITH LIQUID 10L,,1,#REF!
23/02/2028,TANK WITH LIQUID 10L,,2,#REF!
25/02/2026,SWITCH RELAY 24V,,3,#REF!
25/02/2026,BRONZE 110/100X80X55/25.5,,1,#REF!
25/02/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
25/02/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
25/02/2026,BRONZE TCB401 50X56x30,,2,#REF!
25/02/2026,HYDRAULICS LOCK 50L/MIN 1/2,,2,#REF!
25/02/2026,PISTON 63 IMPORT,,1,#REF!
25/02/2026,BRONZE TCB401 35X40x25,,1,#REF!
25/02/2026,BRONZE TCB401 30X35x25,,1,#REF!
25/02/2026,BRONZE TCB 401 30X25X20,,3,#REF!
25/02/2026,PRESUARE GAUGE 250BAR,,2,#REF!
25/02/2026,CLEVIS DEPAN M3000 (DACHENG),,3,#REF!
26/02/2026,BRONZE TCB401 35X40x25,,2,#REF!
26/02/2026,BRONZE TCB401 35X40x25,,10,#REF!
26/02/2026,BALANCE VALVE,,1,#REF!
26/02/2026,BRONZE TCB401 70X80x35,,1,#REF!
26/02/2026,PRESUARE GAUGE 250BAR,,2,#REF!
27/02/2026,BRONZE TCB401 35X40x25,,8,#REF!
27/02/2026,PISTON 63 IMPORT,,8,#REF!
28/02/2026,BRONZE 95/77X70X53/25,,1,#REF!
28/02/2026,BRONZE 95/77X70X53/25,,1,#REF!
28/02/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
28/02/2026,HYDROULIK VALVE DF-08,,1,#REF!
28/02/2026,BUSHING TCB800 90X100X40,,1,#REF!
28/02/2026,BRONZE TCB 401 40X45X30,,1,#REF!
28/02/2026,IR BUSHING 602 24X20X20,,32,#REF!
28/02/2026,IR BUSHING 602 24X20X20,,12,#REF!
28/02/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
28/02/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
28/02/2026,GEAR PUMP 4CC (CBK SERIES),,1,#REF!
28/02/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
02/03/2026,BALANCE VALVE,,1,#REF!
02/03/2026,IR BUSHING TCB 602 30X35X20,,40,#REF!
02/03/2026,BRONZE TCB401 35X40x25,,20,#REF!
02/03/2026,HYDRAULICS LOCK 50L/MIN 1/2,,2,#REF!
02/03/2026,BRONZE TCB401 50X56x30,,1,#REF!
02/03/2026,PRESUARE GAUGE 250BAR,,1,#REF!
02/03/2026,MANIFOLD COSTOMIZE 1 STATION,,1,#REF!
02/03/2026,HYDROULIK VALVE DF-08,,1,G
02/03/2026,FILTER JL-04/MF04,,1,#REF!
02/03/2026,"CLY 180-82,55-H145K8 COVER ",,1,#REF!
03/03/2026,BRONZE TCB401 45X50x30,,2,#REF!
03/03/2026,BRONZE TCB401 35X40x25,,1,#REF!
03/03/2026,COVER SEAL M3000(DACHENG),,18,#REF!
03/03/2026,CLEVIS DEPAN M3000 (DACHENG),,18,#REF!
03/03/2026,COVER BELAKANG M3000 (DACHENG),,18,#REF!
04/03/2026,SWITCH RELAY 12V,,20,#REF!
04/03/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
04/03/2026,COUPLING GEARPUMP/MOTOR 56MM,,1,#REF!
04/03/2026,AC MOTOR 1 HP 1 PHASE /SINGLE PHASE,,1,#REF!
04/03/2026,GEAR PUMP 2CC CBK,,1,#REF!
04/03/2026,TABUNG /TANKI 10LTR,,1,#REF!
04/03/2026,BLOCK STEATS FOR DOCKLOVELER,,1,#REF!
04/03/2026,PUSH BUTTON KEY /REMOTE KUNING,,1,#REF!
04/03/2026,FILTER OIL,,1,#REF!
04/03/2026,HYDRAULICS LOCK 50L/MIN 1/2,,12,#REF!
05/03/2026,BRONZE TCB401 35X40x25,,4,#REF!
05/03/2026,BRONZE TCB401 30X35x25,,16,#REF!
05/03/2026,WINGTRUCK POWER UNIT 24V,,15,#REF!
05/03/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
05/03/2026,SWITCH RELAY 24V,,1,#REF!
05/03/2026,SELENOID DSG-02-3C60-DC24V,,1,#REF!
05/03/2026,SELENOID BLOCK WINGTUCK 1 STATION,,1,#REF!
05/03/2026,BLOCK PP DC MERAH /CENTER BLOCK FOR WINGTRUCK,,1,#REF!
05/03/2026,POLLY TANK FOR 6L 335M,,1,#REF!
05/03/2026,CABLE DC MOTOR SWICTH RELAY,,1,#REF!
05/03/2026,FLOW VALVE,,1,#REF!
05/03/2026,FILTER OIL,,1,#REF!
05/03/2026,GEAR PUMP 2CC CBK,,1,#REF!
05/03/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
06/03/2026,BALANCE VALVE,,2,#REF!
06/03/2026,BRONZE TCB401 45X50x30,,4,#REF!
09/03/2026,BRONZE TCB401 70X80x35,,6,#REF!
09/03/2026,BEARING TCB700 GEE63ES,,6,#REF!
09/03/2026,PLUG PLASTIK 1/2 BLUE,,42,#REF!
10/03/2026,WINGTRUCK POWER UNIT 24V,,20,#REF!
10/03/2026,BRONZE TCB401 35X40x25,,6,#REF!
10/03/2026,PISTON 63 IMPORT,,6,#REF!
10/03/2026,IR BUSHING 602 24X20X20,,24,#REF!
10/03/2026,PLUG PLSTIK 1/4,,36,#REF!
10/03/2026,DRIVE COUPLING NL5,,4,#REF!
10/03/2026,LEVEL GAUGE LS-3,,2,#REF!
10/03/2026,CYLINDER ST350 LOKAL,,4,#REF!
10/03/2026,SWITCH RELAY 12V,,10,#REF!
11/03/2026,BUSHING TCB800 100X110X40,,5,#REF!
11/03/2026,BRONZE TCB401 70X80x35,,15,#REF!
11/03/2026,FILTER JL06/MF06,,1,#REF!
11/03/2026,SELENOID 3C2 24V,,1,#REF!
12/03/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
12/03/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
13/03/2026,BUSHING TCB800 90X100X40,,1,#REF!
13/03/2026,BRONZE TCB 401 40X45X30,,1,#REF!
13/03/2026,BRONZE TCB401 35X40x25,,3,#REF!
13/03/2026,BRONZE TCB401 50X56x30,,4,#REF!
16/03/2026,MOTOR AC 3HP,,1,#REF!
16/03/2026,LEVEL GAUGE LS-3,,1,#REF!
16/03/2026,SELENOID DSG-02-3C60-DC24V,,1,#REF!
16/03/2026,PRESUARE GAUGE 250BAR,,1,#REF!
16/03/2026,FLOW FALVE MSW 02,,1,#REF!
16/03/2026,RELIEF VALVE MBP-02,,1,#REF!
16/03/2026,HYDROULIK VALVE Z256,,1,#REF!
16/03/2026,MANIFOLD COSTOMIZE 1 STATION,,1,#REF!
16/03/2026,GEAR PUMP 8CC,,1,#REF!
16/03/2026,BREATHER FILTER AB-1162,,1,#REF!
16/03/2026,FILTER JL06/MF06,,1,#REF!
16/03/2026,HANDLE P40-1 PORT 1/2,,1,#REF!
16/03/2026,GEAR PUMP 2CC CBK,,5,#REF!
16/03/2026,SWITCH RELAY 24V,,3,#REF!
16/03/2026,BRONZE TCB401 30X35x25,,8,#REF!
17/03/2026,HANDLE P40-1 PORT 1/2,,1,#REF!
17/03/2026,POWER FOR 3WHEELS DUMPIMP 12,,1,#REF!
17/03/2026,LEVEL GAUGE LS-3,,1,#REF!
17/03/2026,TANK PLUG,,1,#REF!
17/03/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
17/03/2026,COUPLING GEARPUMP/MOTOR 56MM,,1,#REF!
26/03/2026,SWITCH RELAY 24V,,3,#REF!
26/03/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
26/03/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
26/03/2026,WINGTRUCK POWER UNIT 24V,,1,#REF!
26/03/2026,PRESUARE GAUGE 400BAR,,4,#REF!
26/03/2026,"MOTOR GIGI 24V,2KW",,1,#REF!
26/03/2026,SWITCH RELAY 24V,,1,#REF!
26/03/2026,COUPLING MOTOR AND GEAR PUMP /COUPLING GIGI,,1,#REF!
